 Height     Press        Temp        u-comp        v-comp        density       mixing ratio       ozone'
1.5            96890.       292.0000      .13           -1.9          1.185046      .003159       .0000000582
3.0           96863.38      292.0000      .1729         -1.7772       1.183822      .003192424    .0000000582
4.5           96840.2       292.0000      .2102         -1.6704       1.182757      .0032215224   .0000000582
6.31          96816.98      292.0000      .2476         -1.5633       1.181689      .0032506833   .0000000582
8.32          96793.68      292.0000      .2852         -1.4559       1.180618      .0032799359   .0000000582
10.34         96770.28      292.0000       .3229         -1.348        1.179543      .0033093094   .0000000582
12.38         96746.77      292.0000      .3608         -1.2396       1.178462      .0033388332   .0000000582
14.42         96723.11      292.0000      .3989         -1.1305       1.177375      .0033685368   .0000000582
16.48         96699.41      292.0000      .4396         -1.1273       1.176405      .0033829213   .0000000582
18.55         96675.67      292.0000      .4836         -1.2556       1.175583      .0033782612   .0000000582
20.65         96651.72      292.0000      .5279         -1.3852       1.174753      .0033735594   .0000000582
22.76         96627.53      292.0000      .5727         -1.516        1.173915      .0033688112   .0000000582
24.9          96603.08      292.0000      .618          -1.6482       1.173069      .0033640119   .0000000582
27.06         96578.35      292.0000      .6638         -1.7819       1.172212      .0033591568   .0000000582
29.25         96553.3       292.0000      .7102         -1.9173       1.171345      .0033542408   .0000000582
31.47         96527.92      292.0000      .7572         -2.0546       1.170466      .0033492591   .0000000582
33.72         96502.19      292.0000      .8048         -2.1937       1.169574      .0033442068   .0000000582
36.           96476.06      292.0000      .8532         -2.335        1.168669      .0033390788   .0000000582
38.32         96449.53      292.0000      .9024         -2.4785       1.16775       .0033338699   .0000000582
40.68         96422.55      292.0000      .9523         -2.6244       1.166816      .0033285749   .0000000582
43.08         96395.11      292.0000      1.0031        -2.7727       1.165865      .0033231886   .0000000582
45.52         96367.18      292.0000      1.0549        -2.9238       1.164898      .0033177056   .0000000582
48.01         96338.73      292.0000      1.1075        -3.0776       1.163912      .0033121203   .0000000582
50.54         96309.72      292.0000      1.1613        -3.2345       1.162908      .0033064273   .0000000582
53.13         96280.14      292.0000      1.216         -3.3944       1.161883      .0033006207   .0000000582
55.77         96249.95      292.0797      1.2719        -3.5577       1.160838      .0032946948   .0000000582
58.46         96219.13      292.2796      1.329         -3.7243       1.15977       .0032886437   .0000000582
61.21         96187.63      292.4839      1.3873        -3.8947       1.158679      .0032824613   .0000000582
64.03         96155.69      292.6071      1.4181        -4.033        1.15791       .0032725794   .0000000582
66.91         96123.34      292.6271      1.414         -4.1302       1.157552      .0032580617   .0000000582
69.85         96090.24      292.6476      1.4097        -4.2297       1.157186      .0032432064   .0000000582
72.87         96056.35      292.6686      1.4053        -4.3315       1.156811      .0032279989   .0000000582
75.95         96021.64      292.6901      1.4008        -4.4358       1.156427      .0032124238   .0000000582
79.12         95986.08      292.7121      1.3962        -4.5427       1.156033      .0031964656   .0000000582
82.36         95949.63      292.7347      1.3915        -4.6522       1.15563       .0031801083   .0000000582
85.69         95912.26      292.7579      1.3867        -4.7645       1.155216      .0031633356   .0000000582
89.1          95873.92      292.7817      1.3817        -4.8797       1.154792      .0031461307   .0000000582
92.6          95834.58      292.8062      1.3766        -4.9979       1.154357      .0031284764   .0000000582
96.19         95794.19      292.8313      1.3714        -5.1193       1.15391       .003110355    .0000000582
99.88         95752.73      292.8571      1.366         -5.2439       1.153451      .0030917485   .0000000582
103.67        95710.15      292.8836      1.3605        -5.3718       1.15298       .0030726381   .0000000582
107.56        95666.4       292.9109      1.3549        -5.5033       1.152496      .0030530049   .0000000582
111.56        95621.44      292.9389      1.349         -5.6384       1.151998      .0030328292   .0000000582
115.67        95575.22      292.9677      1.3431        -5.7773       1.151487      .0030120907   .0000000582
119.9         95527.71      292.9974      1.3369        -5.9201       1.150961      .0029907688   .0000000582
124.25        95478.85      293.0279      1.3306        -6.0669       1.150421      .0029688421   .0000000582
128.72        95428.59      293.0594      1.3241        -6.2179       1.149864      .0029462888   .0000000582
133.32        95376.89      293.0917      1.3174        -6.3733       1.149292      .0029230862   .0000000582
138.05        95323.69      293.1251      1.3105        -6.5332       1.148704      .0028992111   .0000000582
