 Height     Press        Temp        u-comp        v-comp        density       mixing ratio       ozone'
10.34         96770.28      294.0000       .3229         -1.348        1.179543     .0030000000   .0000000582
24.9          96603.08      294.0000      .618          -1.6482       1.173069      .0030000000   .0000000582
50.54         96309.72      294.0000      1.1613        -3.2345       1.162908      .0030000000   .0000000582
82.36         95949.63      294.0000      1.3915        -4.6522       1.15563       .0030000000   .0000000582
124.25        95478.85      294.0000      1.3306        -6.0669       1.150421      .0029688421   .0000000582
175.84        94898.92      294.0000      1.2556        -7.8096       1.144003      .0027085955   .0000000582
254.44        94019.98      294.0000      1.2175        -10.0663      1.134581      .0023782539   .0000000582
355.33        92920.67      294.0000      1.6687        -10.3514      1.124797      .0023880984   .0000000582
450.16        91887.38      294.0000      2.0928        -10.6194      1.115601      .0023973518   .0000000582
548.01        90821.16      294.0287      2.5304        -10.8959      1.106111      .0024069000   .0000000582
829.15        87806.65      294.2692      3.3338        -12.649       1.07892       .0024711491   .0000000582
936.7         86689.57      294.3897      3.3044        -14.0311      1.068571      .0025230462   .0000000582
1062.99       85377.92      294.5451      3.2698        -15.6539      1.056419      .0025839829   .0000000582
1210.54       83845.46      294.7465      3.2294        -17.5499      1.042222      .0026551779   .0000000582
1382.3        82082.96      295.2614      2.9727        -19.851       1.024881      .0028177553   .0000000582
1581.7        80126.47      297.2813      4.3633        -19.2928      1.000558      .0031927198   .0000000582
1812.74       77876.37      300.0138      6.7034        -17.4589      .971466       .0036382382   .0000000582
2080.04       75385.56      303.2098      7.4156        -20.2758      .93918        .0040853473   .0000000582
2388.93       72588.09      305.9275      9.363         -20.2358      .906006       .003923699    .0000000582
2745.6        69477.19      308.2111      8.5344        -18.6976      .871594       .0034926535   .0000000582
3157.19       66039.16      310.4839      6.4366        -18.3436      .834412       .0028647735   .0000000582
3631.92       62247.68      312.6355      9.3215        -18.3208      .794425       .0020354556   .0000000582
4179.28       58102.86      314.977       11.0133       -20.1409      .750656       .0014418882   .0000000582
4810.24       53601.6       316.3707      10.9763       -18.5321      .705529       .001241436    .0000000582
5537.4        48800.31      321.8934      13.6741       -14.4551      .648458       .0004457197   .0000000582
6375.3        43688.31      325.2243      12.2261       -15.8715      .593067       .0002144116   .0000000582
7340.71       38339.36      326.3034      16.6843       -15.2188      .538466       .0001581894   .0000000581
8452.94       32801.4       328.5817      16.8436       -8.918        .478356       .0000483653   .000000058
9734.22       27193.95      330.5561      16.146        -11.0586      .415912       .0000298666   .0000000576
11210.19      21667.55      335.6141      15.7663       -6.8705       .348296       .0000204358   .0000000548
