     Z         TH        U         V         Q         P
    2.000   304.000     2.000     0.000     1.000   999.800
    4.000   304.000     2.000     0.000     1.000   999.600
    6.000   304.001     2.000     0.000     1.000   999.400
    8.000   304.001     2.000     0.000     1.000   999.200
   10.000   304.001     2.000     0.000     1.000   999.000
   12.000   304.001     2.000     0.000     1.000   998.800
   14.000   304.001     2.000     0.000     1.000   998.600
   16.000   304.002     2.000     0.000     1.000   998.400
   18.000   304.002     2.000     0.000     1.000   998.200
   20.000   304.002     2.000     0.000     1.000   998.000
   22.000   304.002     2.000     0.000     1.000   997.800
   24.000   304.002     2.000     0.000     1.000   997.600
   26.000   304.003     2.000     0.000     1.000   997.400
   28.000   304.003     2.000     0.000     1.000   997.200
   30.000   304.003     2.000     0.000     1.000   997.000
   32.000   304.003     2.000     0.000     1.000   996.800
   34.000   304.003     2.000     0.000     1.000   996.600
   36.000   304.004     2.000     0.000     1.000   996.400
   38.000   304.004     2.000     0.000     1.000   996.200
   40.000   304.004     2.000     0.000     1.000   996.000
   42.000   304.004     2.000     0.000     1.000   995.800
   44.000   304.004     2.000     0.000     1.000   995.600
   46.000   304.005     2.000     0.000     1.000   995.400
   48.000   304.005     2.000     0.000     1.000   995.200
   50.000   304.005     2.000     0.000     1.000   995.000
   52.000   304.005     2.000     0.000     1.000   994.800
   54.000   304.005     2.000     0.000     1.000   994.600
   56.000   304.006     2.000     0.000     1.000   994.400
   58.000   304.006     2.000     0.000     1.000   994.200
   60.000   304.006     2.000     0.000     1.000   994.000
   62.000   304.006     2.000     0.000     1.000   993.800
   64.000   304.006     2.000     0.000     1.000   993.600
   66.000   304.007     2.000     0.000     1.000   993.400
   68.000   304.007     2.000     0.000     1.000   993.200
   70.000   304.007     2.000     0.000     1.000   993.000
   72.000   304.007     2.000     0.000     1.000   992.800
   74.000   304.007     2.000     0.000     1.000   992.600
   76.000   304.008     2.000     0.000     1.000   992.400
   78.000   304.008     2.000     0.000     1.000   992.200
   80.000   304.008     2.000     0.000     1.000   992.000
   82.000   304.008     2.000     0.000     1.000   991.800
   84.000   304.008     2.000     0.000     1.000   991.600
   86.000   304.009     2.000     0.000     1.000   991.400
   88.000   304.009     2.000     0.000     1.000   991.200
   90.000   304.009     2.000     0.000     1.000   991.000
   92.000   304.009     2.000     0.000     1.000   990.800
   94.000   304.009     2.000     0.000     1.000   990.600
   96.000   304.010     2.000     0.000     1.000   990.400
   98.000   304.010     2.000     0.000     1.000   990.200
  100.000   304.010     2.000     0.000     1.000   990.000
  102.000   304.010     2.000     0.000     1.000   989.800
  104.000   304.010     2.000     0.000     1.000   989.600
  106.000   304.011     2.000     0.000     1.000   989.400
  108.000   304.011     2.000     0.000     1.000   989.200
  110.000   304.011     2.000     0.000     1.000   989.000
  112.000   304.011     2.000     0.000     1.000   988.800
  114.000   304.011     2.000     0.000     1.000   988.600
  116.000   304.012     2.000     0.000     1.000   988.400
  118.000   304.012     2.000     0.000     1.000   988.200
  120.000   304.012     2.000     0.000     1.000   988.000
  122.000   304.012     2.000     0.000     1.000   987.800
  124.000   304.012     2.000     0.000     1.000   987.600
  126.000   304.013     2.000     0.000     1.000   987.400
  128.000   304.013     2.000     0.000     1.000   987.200
  130.000   304.013     2.000     0.000     1.000   987.000
  132.000   304.013     2.000     0.000     1.000   986.800
  134.000   304.013     2.000     0.000     1.000   986.600
  136.000   304.014     2.000     0.000     1.000   986.400
  138.000   304.014     2.000     0.000     1.000   986.200
  140.000   304.014     2.000     0.000     1.000   986.000
  142.000   304.014     2.000     0.000     1.000   985.800
  144.000   304.014     2.000     0.000     1.000   985.600
  146.000   304.015     2.000     0.000     1.000   985.400
  148.000   304.015     2.000     0.000     1.000   985.200
  150.000   304.015     2.000     0.000     1.000   985.000
  152.000   304.015     2.000     0.000     1.000   984.800
  154.000   304.015     2.000     0.000     1.000   984.600
  156.000   304.016     2.000     0.000     1.000   984.400
  158.000   304.016     2.000     0.000     1.000   984.200
  160.000   304.016     2.000     0.000     1.000   984.000
  162.000   304.016     2.000     0.000     1.000   983.800
  164.000   304.016     2.000     0.000     1.000   983.600
  166.000   304.017     2.000     0.000     1.000   983.400
  168.000   304.017     2.000     0.000     1.000   983.200
  170.000   304.017     2.000     0.000     1.000   983.000
  172.000   304.017     2.000     0.000     1.000   982.800
  174.000   304.017     2.000     0.000     1.000   982.600
  176.000   304.018     2.000     0.000     1.000   982.400
  178.000   304.018     2.000     0.000     1.000   982.200
  180.000   304.018     2.000     0.000     1.000   982.000
  182.000   304.018     2.000     0.000     1.000   981.800
  184.000   304.018     2.000     0.000     1.000   981.600
  186.000   304.019     2.000     0.000     1.000   981.400
  188.000   304.019     2.000     0.000     1.000   981.200
  190.000   304.019     2.000     0.000     1.000   981.000
  192.000   304.019     2.000     0.000     1.000   980.800
  194.000   304.019     2.000     0.000     1.000   980.600
  196.000   304.020     2.000     0.000     1.000   980.400
  198.000   304.020     2.000     0.000     1.000   980.200
  200.000   304.020     2.000     0.000     1.000   980.000
  202.000   304.020     2.000     0.000     1.000   979.800
  204.000   304.020     2.000     0.000     1.000   979.600
  206.000   304.021     2.000     0.000     1.000   979.400
  208.000   304.021     2.000     0.000     1.000   979.200
  210.000   304.021     2.000     0.000     1.000   979.000
  212.000   304.021     2.000     0.000     1.000   978.800
  214.000   304.021     2.000     0.000     1.000   978.600
  216.000   304.022     2.000     0.000     1.000   978.400
  218.000   304.022     2.000     0.000     1.000   978.200
  220.000   304.022     2.000     0.000     1.000   978.000
  222.000   304.022     2.000     0.000     1.000   977.800
  224.000   304.022     2.000     0.000     1.000   977.600
  226.000   304.023     2.000     0.000     1.000   977.400
  228.000   304.023     2.000     0.000     1.000   977.200
  230.000   304.023     2.000     0.000     1.000   977.000
  232.000   304.023     2.000     0.000     1.000   976.800
  234.000   304.023     2.000     0.000     1.000   976.600
  236.000   304.024     2.000     0.000     1.000   976.400
  238.000   304.024     2.000     0.000     1.000   976.200
  240.000   304.024     2.000     0.000     1.000   976.000
  242.000   304.024     2.000     0.000     1.000   975.800
  244.000   304.024     2.000     0.000     1.000   975.600
  246.000   304.025     2.000     0.000     1.000   975.400
  248.000   304.025     2.000     0.000     1.000   975.200
  250.000   304.025     2.000     0.000     1.000   975.000
  252.000   304.025     2.000     0.000     1.000   974.800
  254.000   304.025     2.000     0.000     1.000   974.600
  256.000   304.026     2.000     0.000     1.000   974.400
  258.000   304.026     2.000     0.000     1.000   974.200
  260.000   304.026     2.000     0.000     1.000   974.000
  262.000   304.026     2.000     0.000     1.000   973.800
  264.000   304.026     2.000     0.000     1.000   973.600
  266.000   304.027     2.000     0.000     1.000   973.400
  268.000   304.027     2.000     0.000     1.000   973.200
  270.000   304.027     2.000     0.000     1.000   973.000
  272.000   304.027     2.000     0.000     1.000   972.800
  274.000   304.027     2.000     0.000     1.000   972.600
  276.000   304.028     2.000     0.000     1.000   972.400
  278.000   304.028     2.000     0.000     1.000   972.200
  280.000   304.028     2.000     0.000     1.000   972.000
  282.000   304.028     2.000     0.000     1.000   971.800
  284.000   304.028     2.000     0.000     1.000   971.600
  286.000   304.029     2.000     0.000     1.000   971.400
  288.000   304.029     2.000     0.000     1.000   971.200
  290.000   304.029     2.000     0.000     1.000   971.000
  292.000   304.029     2.000     0.000     1.000   970.800
  294.000   304.029     2.000     0.000     1.000   970.600
  296.000   304.030     2.000     0.000     1.000   970.400
  298.000   304.030     2.000     0.000     1.000   970.200
  300.000   304.030     2.000     0.000     1.000   970.000
  302.000   304.030     2.000     0.000     1.000   969.800
  304.000   304.030     2.000     0.000     1.000   969.600
  306.000   304.031     2.000     0.000     1.000   969.400
  308.000   304.031     2.000     0.000     1.000   969.200
  310.000   304.031     2.000     0.000     1.000   969.000
  312.000   304.031     2.000     0.000     1.000   968.800
  314.000   304.031     2.000     0.000     1.000   968.600
  316.000   304.032     2.000     0.000     1.000   968.400
  318.000   304.032     2.000     0.000     1.000   968.200
  320.000   304.032     2.000     0.000     1.000   968.000
  322.000   304.032     2.000     0.000     1.000   967.800
  324.000   304.032     2.000     0.000     1.000   967.600
  326.000   304.033     2.000     0.000     1.000   967.400
