 -3.5819739E-02   0.2153682        286.7173        1376.848    
    96915.83        286.7173        1.168382       5.8295205E-03 5.8182689E-08  -4.2332947E-04
    96906.92        288.1389        1.168336       5.8292933E-03 5.8180646E-08  -4.2332947E-04
    96900.77        288.2464        1.167608       5.8269398E-03 5.8179236E-08  -7.7645869E-05
    96893.62        288.3829        1.166763       5.8294660E-03 5.8177598E-08  -3.5569585E-05
    96885.34        288.6471        1.165786       5.8441609E-03 5.8175697E-08  -5.1162802E-05
    96875.73        288.9261        1.164653       5.8613895E-03 5.8173498E-08  -6.3253567E-05
    96864.60        289.2160        1.163342       5.8789290E-03 5.8170944E-08  -7.9397440E-05
    96851.73        289.5483        1.161825       5.8990531E-03 5.8167991E-08  -1.0795665E-04
    96836.79        289.9311        1.160070       5.9223501E-03 5.8164566E-08  -1.5879223E-04
    96819.51        290.3756        1.158040       5.9489580E-03 5.8160605E-08  -1.9716776E-04
    96799.48        290.6678        1.156633       5.9575969E-03 5.8156012E-08  -1.7676181E-04
    96776.26        290.7504        1.156064       5.9429989E-03 5.8150686E-08  -1.3830423E-04
    96749.38        290.8404        1.155404       5.9256968E-03 5.8144522E-08  -1.1726705E-04
    96718.17        290.9441        1.154639       5.9056156E-03 5.8137367E-08  -1.0290511E-04
    96682.00        291.0618        1.153753       5.8823209E-03 5.8129075E-08  -9.2448274E-05
    96640.10        291.1993        1.152726       5.8553666E-03 5.8119468E-08  -8.4905601E-05
    96591.52        291.3580        1.151537       5.8241575E-03 5.8108327E-08  -7.9733880E-05
    96535.24        291.5424        1.150161       5.7880306E-03 5.8095424E-08  -7.6911841E-05
    96470.03        291.7553        1.148567       5.7461606E-03 5.8080470E-08  -7.6876408E-05
    96394.53        292.0009        1.146722       5.6977817E-03 5.8063158E-08  -7.8338329E-05
    96307.08        292.2606        1.144701       5.6240228E-03 5.8043106E-08  -8.3849016E-05
    96205.83        292.5551        1.142391       5.5343881E-03 5.8019889E-08  -8.8356246E-05
    96088.59        292.7355        1.140343       5.4547684E-03 5.7993006E-08  -7.8847603E-05
    95952.81        292.7001        1.138909       5.3986404E-03 5.7961874E-08  -6.4682863E-05
    95795.54        292.6571        1.137248       5.3337645E-03 5.7925810E-08  -5.6201130E-05
    95613.38        292.6068        1.135324       5.2587106E-03 5.7884044E-08  -5.0207072E-05
    95402.45        292.5482        1.133096       5.1719351E-03 5.7835674E-08  -4.5822511E-05
    95158.33        292.4792        1.130516       5.0716801E-03 5.7779701E-08  -4.2698386E-05
    94875.78        292.3994        1.127531       4.9559264E-03 5.7714914E-08  -4.1346280E-05
    94549.01        292.3062        1.124077       4.8223562E-03 5.7639983E-08  -3.9713108E-05
    94171.14        292.0940        1.120441       4.7379555E-03 5.7553340E-08  -3.5738987E-05
    93734.27        291.7388        1.116609       4.7132298E-03 5.7453168E-08  -3.1789423E-05
    93229.37        291.3268        1.112173       4.6847281E-03 5.7337395E-08  -2.9226579E-05
    92646.20        290.8485        1.107043       4.6518287E-03 5.7203675E-08  -2.7379059E-05
    91973.11        290.2920        1.101111       4.6138377E-03 5.7049338E-08  -2.5501266E-05
    91196.74        289.6000        1.094426       4.5886668E-03 5.6871318E-08  -2.3576647E-05
    90302.10        288.7943        1.086715       4.5608263E-03 5.6666181E-08  -2.2028908E-05
    89272.22        287.8569        1.077812       4.5286133E-03 5.6413018E-08  -2.0739981E-05
    88088.15        286.7784        1.067521       4.4877385E-03 5.6119223E-08  -1.9852343E-05
    86728.88        285.5537        1.055556       4.4202730E-03 5.5781957E-08  -1.9301682E-05
    85171.23        284.1287        1.041814       4.3501956E-03 5.5395468E-08  -1.8983734E-05
    83389.75        282.4524        1.026077       4.2841728E-03 5.4953443E-08  -1.9051407E-05
    81356.96        280.4882        1.008083       4.1902452E-03 5.4449060E-08  -1.9006289E-05
    79043.35        278.1308       0.9877595       4.0379027E-03 5.4098191E-08  -1.9828563E-05
    76419.41        275.6478       0.9636029       3.8866133E-03 5.4156050E-08  -1.6623439E-05
    73461.10        274.0626       0.9330318       1.5056292E-03 5.4221282E-08  -8.9958876E-06
    70154.57        273.0841       0.8946061       8.1574218E-04 5.4286350E-08  -1.4221413E-05
    66472.53        271.4167       0.8519770       2.2306892E-03 5.4295860E-08  -2.1693972E-05
    62522.04        268.0964       0.8114105       1.8912437E-03 5.4306067E-08  -2.6233907E-05
    58634.34        265.7339       0.7678275       1.6123359E-03 5.6359404E-08  -3.5500729E-05
    54974.97        263.5396       0.7261530       1.1138530E-03 5.8465936E-08  -3.8505495E-05
    51506.73        260.0768       0.6896961       5.7736813E-04 6.0228231E-08  -3.0595496E-05
    48214.73        256.7309       0.6542306       2.2392516E-04 6.1880066E-08  -2.0618818E-05
    45089.63        252.7325       0.6215365       1.6430873E-04 6.5552847E-08  -1.6389937E-05
    42123.69        249.0486       0.5892790       9.5498617E-05 6.9253979E-08  -1.1439288E-05
    39311.95        245.2042       0.5585826       6.3484382E-05 7.2796524E-08  -9.0317908E-06
    36647.00        241.2000       0.5293493       7.8370293E-05 7.6157967E-08  -1.1730778E-05
    30789.16        234.5777       0.4569241       6.7062982E-05 9.5735416E-08  -1.6243865E-05
    24931.33        226.6443       0.3828579       2.2278604E-05 1.2980117E-07  -1.3840107E-05
    19073.50        218.9725       0.3032616       3.6092774E-06 1.7814905E-07  -6.7520382E-06
    13215.67        213.3102       0.2179981       8.7074864E-07 2.2549585E-07  -5.5105952E-06
    7357.835        212.2480       0.1207429       4.6255894E-07 3.1364209E-07  -2.0253419E-05
    1500.003        225.4696       2.1803124E-02   8.9967692E-08 2.2867960E-07    0.000000    
